h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
1.024772e-01	1.085806e-01	1.326533e-01	7.185574e-02	6.599285e-04	16	
6.868915e-02	3.933065e-02	9.533570e-01	9.161458e-01	7.905515e-04	12	
1.378307e-02	1.576256e-02	8.991612e-01	9.112555e-01	7.969224e-04	11	
1.114390e-01	6.780635e-02	6.544243e-01	3.481509e-01	8.333243e-04	11	
1.473928e-02	1.487632e-02	6.911129e-01	6.276197e-01	7.986065e-04	11	
5.283851e-02	5.017877e-02	6.116209e-01	5.621601e-01	7.634382e-04	10	
5.141506e-03	5.338439e-03	5.876778e-01	6.059094e-01	7.229254e-04	12	
2.982408e-02	3.784342e-02	5.331088e-01	5.919251e-01	7.384352e-04	11	
3.361481e-02	3.684028e-02	4.626776e-01	4.449178e-01	7.147216e-04	11	
2.749796e-02	2.837956e-02	2.596553e-01	2.275270e-01	7.084899e-04	10	
6.861468e-03	6.279335e-03	2.183704e-01	2.514409e-01	7.189025e-04	9	
3.121913e-02	2.488786e-02	4.075149e-01	2.996671e-01	7.559816e-04	10	
5.022164e-02	4.082041e-02	4.286758e-01	3.161204e-01	7.918990e-04	10	
1.187527e-01	1.186594e-01	1.459685e-01	2.727995e-01	8.202841e-04	10	
4.093961e-02	4.222278e-02	2.296806e-01	2.615669e-01	7.933038e-04	9	
4.093961e-02	4.222278e-02	2.296806e-01	2.615669e-01	7.933038e-04	9	
5.056494e-02	4.719802e-02	1.866686e-01	1.298222e-01	7.742695e-04	9	
6.876489e-02	3.991693e-02	5.015374e-01	2.037986e-01	7.396248e-04	9	
1.089842e-02	8.239732e-03	3.856266e-01	2.051463e-01	7.705410e-04	8	
4.222818e-02	4.405827e-02	7.046504e-01	7.403254e-01	7.433411e-04	8	
3.563743e-02	1.359419e-02	8.020199e-01	5.148341e-01	7.885154e-04	8	
9.908370e-02	5.064029e-02	6.738931e-01	3.402067e-01	8.177275e-04	9	
2.088356e-02	1.647188e-02	6.875326e-01	6.193815e-01	7.137905e-04	8	
8.231144e-02	3.726635e-02	9.061025e-01	8.049932e-01	7.056352e-04	9	
4.682817e-02	4.787884e-02	5.010568e-01	4.395706e-01	7.964220e-04	10	
2.668506e-02	2.358101e-02	3.782367e-01	2.757216e-01	9.581574e-04	11	
1.245505e-01	8.207822e-02	5.343012e-01	3.710741e-01	1.002336e-03	10	
3.685510e-03	2.869296e-03	2.924458e-01	1.596415e-01	9.387487e-04	13	
3.685510e-03	2.869296e-03	2.924458e-01	1.596415e-01	9.387487e-04	13	
3.252656e-02	2.579292e-02	3.933551e-01	4.222361e-01	9.606043e-04	13	
9.517124e-04	9.296800e-04	3.345001e-01	2.739076e-01	9.505205e-04	12	
6.339880e-02	5.949321e-02	3.062087e-01	2.267734e-01	9.523438e-04	11	
2.190992e-02	1.777670e-02	1.887556e-01	8.417362e-02	8.974637e-04	12	
5.884348e-03	5.199261e-03	6.354048e-02	5.260253e-02	8.878830e-04	12	
2.526649e-02	2.678905e-02	5.362688e-02	2.508428e-02	9.116331e-04	13	
2.587945e-02	2.327093e-02	1.419907e-01	7.134442e-02	8.952111e-04	11	
1.192041e-02	1.295355e-02	1.272533e-01	7.204432e-02	8.550238e-04	11	
1.558845e-02	1.452471e-02	2.664372e-01	1.823862e-01	8.557340e-04	12	
1.558845e-02	1.452471e-02	2.664372e-01	1.823862e-01	8.557340e-04	12	
4.061568e-02	2.916145e-02	5.697583e-01	3.979349e-01	8.322824e-04	14	
5.042039e-02	4.724064e-02	2.341472e-01	2.056752e-01	7.897665e-04	14	
1.042310e-02	1.377421e-02	3.127226e-01	3.611154e-01	7.635128e-04	12	
1.783620e-02	1.200144e-02	4.003107e-01	1.171346e-01	7.494091e-04	11	
1.350548e-02	1.249887e-02	3.713977e-01	2.774030e-01	7.713654e-04	12	
1.350548e-02	1.249887e-02	3.713977e-01	2.774030e-01	7.713654e-04	12	
2.583569e-02	1.807345e-02	5.574053e-01	3.453305e-01	7.406001e-04	13	
4.121496e-02	3.200227e-02	4.745797e-01	3.130942e-01	7.423745e-04	13	
4.121496e-02	3.200227e-02	4.745797e-01	3.130942e-01	7.423745e-04	13	
1.123692e-02	8.306497e-03	4.664233e-01	2.456601e-01	7.496464e-04	12	
4.875008e-02	4.195424e-02	1.421602e-01	9.466635e-02	7.845790e-04	11	
4.072267e-02	3.934609e-02	1.098195e-01	8.081747e-02	8.078914e-04	11	
2.344438e-02	2.447349e-02	1.393486e-01	1.513219e-01	7.693089e-04	12	
2.344438e-02	2.447349e-02	1.393486e-01	1.513219e-01	7.693089e-04	12	
5.324631e-02	6.052537e-02	1.811187e-02	1.167859e-02	7.863940e-04	12	
1.579305e-02	1.284353e-02	1.957203e-01	1.257899e-01	8.212455e-04	11	
9.710971e-03	8.968691e-03	3.982860e-02	1.696497e-02	8.428439e-04	9	
3.417048e-02	3.299319e-02	9.947958e-02	6.438232e-02	8.234075e-04	7	
2.790838e-02	2.698952e-02	1.319479e-01	6.649545e-02	8.358828e-04	8	
2.790838e-02	2.698952e-02	1.319479e-01	6.649545e-02	8.358828e-04	8	
2.826180e-02	2.536703e-02	4.801530e-01	3.553885e-01	7.815951e-04	9	
2.460429e-02	2.103373e-02	2.305207e-01	1.427880e-01	7.237915e-04	11	
2.460429e-02	2.103373e-02	2.305207e-01	1.427880e-01	7.237915e-04	11	
6.909077e-02	5.954320e-02	3.386643e-01	1.875591e-01	6.905629e-04	11	
1.147870e-01	1.176455e-01	1.057615e-01	9.907758e-02	7.184709e-04	13	
1.470671e-01	1.191213e-01	1.014610e-02	7.535338e-03	6.574266e-04	11	
4.034784e-02	4.128967e-02	3.292051e-01	3.773278e-01	6.676114e-04	9	
5.411448e-02	3.299285e-02	4.314655e-01	1.986952e-01	6.075416e-04	8	
5.947692e-02	4.495317e-02	2.550691e-01	9.431245e-02	6.341163e-04	7	
1.197089e-02	1.112778e-02	1.864893e-01	1.900133e-01	6.438260e-04	8	
2.126895e-02	2.353551e-02	8.769841e-02	4.359583e-02	5.967017e-04	8	
2.311366e-02	2.309660e-02	1.825771e-01	7.526617e-02	5.709797e-04	7	
2.325027e-02	2.472406e-02	6.335719e-02	6.317653e-02	7.030535e-04	10	
2.303722e-02	2.213616e-02	8.761034e-02	9.910507e-02	6.901434e-04	10	
1.603163e-02	1.518220e-02	1.097663e-01	9.772902e-02	6.855765e-04	9	
1.706606e-02	1.779004e-02	5.788387e-01	5.970553e-01	7.306936e-04	10	
6.948519e-02	4.665556e-02	7.640768e-01	5.492893e-01	7.217666e-04	11	
