Gene,Mean,Dispersion,Dispersion_norm
SPARC,0.21161807752322434,3.1794003005972824,8.01527
GNG11,0.2113061414264379,3.175867871754316,7.973519
PPBP,0.35342596068939774,2.990167896925122,7.943931
PF4,0.22701971688165323,3.1546050076374867,7.722202
SDPR,0.22726635626565478,3.14340314413031,7.5898013
TCL1A,0.9283197666691333,2.7067780120927134,7.4222393
NRGN,0.3576427637949598,2.9132096610830627,6.7376738
CD9,0.34287755411827975,2.9104147930396143,6.6938667
CD79A,1.1820762965657023,2.5913662226156906,6.369272
CLU,0.24315671541235365,3.0372489549230504,6.3351083
HIST1H2AC,0.40058108088545835,2.887410392013061,6.3332915
TUBB1,0.25064844719525153,3.027293909057652,6.2174444
F13A1,0.18276852618841444,3.0259656545584748,6.201745
PVALB,0.04722149453510424,3.5541845318299297,6.103421
LINC00926,0.7791444465019619,2.681341633059652,5.9797544
MYL9,0.1481049256456101,2.997340329846132,5.863407
RGS18,0.3524635697421899,2.857431215131131,5.8633924
PGRMC1,0.41581352105907693,2.7799732120018397,5.8369374
SAMD14,0.0361478524318313,3.4987953308020088,5.7839365
TDRP,0.03467859243231434,3.494468262227654,5.7589784
CA2,0.21978804701462737,2.9831682723034834,5.6959
PTGS1,0.1511238691524967,2.970637442726039,5.5477915
FSTL1,0.07110337355768344,3.457153490385297,5.543747
MS4A1,1.152574979281429,2.55703545315665,5.5280814
ACRBP,0.15198235144023844,2.9594401633975647,5.415445
SEPT5,0.10193528511185852,3.4257578259810644,5.362657
AP001189.4,0.11630964470417139,3.425740231666219,5.3625555
GP9,0.13321529634050103,3.4103183104728196,5.273602
FAXDC2,0.07264559600996026,3.4042412362701304,5.2385497
S100A8,1.5254490888454995,2.437037817942673,5.23209
SYTL4,0.029037436438021477,3.399952280271554,5.213811
FCER2,0.6049838893397071,2.7022515702288525,5.2078886
ITGA2B,0.1289275217462537,3.3968235188814435,5.1957645
PDLIM1,0.6095129254277268,2.700639251495407,5.174814
LY6G5B,0.03473767366347182,3.3862781314754153,5.1349387
SNCA,0.24471861504040981,2.93569560087413,5.1347957
GAS2L1,0.17584734785092943,2.9352981495539585,5.130098
TPM1,0.30742167516573815,2.809769849782852,5.1163397
HGD,0.06242686188673344,3.353551006878621,4.946169
LY6G6F,0.06642233676079452,3.3426980912642685,4.8835697
SMIM5,0.03762203667796047,3.334704322405099,4.8374615
CTD-2541M15.1,0.019938757962658534,3.322331974550262,4.766098
LCN2,0.01967082960054942,3.3156133241513115,4.727345
TMEM40,0.10797091784717666,3.312939520421942,4.7119226
RP4-781K5.2,0.032163099274726104,3.3030134306990875,4.654669
TREML1,0.12094089195033836,3.301131210940628,4.643812
MMD,0.2584505107378509,2.891234563800279,4.609287
AC147651.3,0.08118738771183864,3.292867928355954,4.59615
RUFY1,0.5543038297963808,2.670609905776927,4.558803
TACR2,0.0287834622220254,3.283805850134073,4.54388
HOMER2,0.03960795311766117,3.282066458896024,4.533847
SENCR,0.150704626041932,2.880478445298275,4.4821544
GLS2,0.022073595773462195,3.2718931655394186,4.4751678
CD79B,1.4165722030754122,2.4159085480240314,4.449078
SCGB1C1,0.05766757732922575,3.266385460138933,4.443399
CLDN5,0.04838361056015891,3.2649772845787317,4.435277
RSPH9,0.04087907325625571,3.2623947743562547,4.420381
PDZK1IP1,0.045986719847984955,3.2528536677202946,4.365348
GRAP2,0.8743972284937428,2.580148727200662,4.362732
SEPT4,0.034447780286108384,3.2368130450223176,4.2728257
RP11-879F14.2,0.03676318535019601,3.2332243075276055,4.2521257
ZNF425,0.020877722726317258,3.2319036400016024,4.2445083
NGFRAP1,0.762611904690597,2.6060199879381223,4.2376685
PKIG,0.46830959005321765,2.6893411227360624,4.1425896
PTCRA,0.11968059685282273,3.2135078138600983,4.1384015
RP11-359I18.5,0.023704920776618645,3.2123210387042542,4.131556
SVIP,0.9915000919442881,2.5334462082205875,4.117498
THBS1,0.04787852776796673,3.209281494808127,4.114024
TSPAN13,0.49887437463330747,2.6865163615192738,4.0897813
BANK1,0.8225061059240797,2.5986092867072967,4.066269
C2orf88,0.06492895140541696,3.19983391687384,4.0595307
CMTM5,0.09124598669985792,3.1969644609583887,4.0429797
CDYL,0.18922206918999687,2.8433072024998105,4.042808
MMP9,0.03840958677701776,3.196108655755202,4.0380435
ITGB3,0.04297160823766857,3.193736280848553,4.0243597
ACTN1,0.6615044889937152,2.644096222142509,4.0149107
IGLL5,0.4382492995977897,2.6819823390202053,4.0050187
GATA2,0.02493972927805109,3.18871504477387,3.995397
PPAPDC1B,0.7164875291660978,2.5952855371454766,3.9893951
VPREB3,0.6837062824126542,2.640927155023878,3.9499018
HRASLS,0.018703358703133874,3.1777973033433726,3.9324236
SCIN,0.02419268633539082,3.177087923752502,3.9283319
HLA-DQB1,1.38103326035481,2.39412308441377,3.9076025
RBP7,0.6228319331805573,2.636333674110323,3.8556728
LGALS2,1.293217253050346,2.443397543291986,3.840379
MEG3,0.016580907961044097,3.1589597808346657,3.823769
RP11-142C4.6,0.04978536726713903,3.1583667010896974,3.820348
AC007879.7,0.030792119194045637,3.157339636258203,3.814424
CLEC1B,0.07372459772449041,3.1436008276065768,3.7351787
ARHGAP6,0.03484525305935375,3.142936555803158,3.7313473
FHL1,0.3609297165061706,2.721100725795788,3.7265236
